Category,Subcategory,Feature,Gatsby,WordPress,Drupal,Description
,,WCAG 2.0 AA compliance,2,3,3,Leverage a framework with full compliance with the Web Content Accessibility Guidelines (WCAG) 2.0. Gatsby is partially compliant.
Documentation,Tutorials and guides,Introductory tutorial,3,3,3,Read an introductory tutorial with a step-by-step process to help new users get started quickly.
,,Sourcing data,3,3,3,Read a guide with a step-by-step process to help you source data from a data source such as a CMS.
,,Incorporating CSS frameworks,3,2,2,"Read a guide with a set of instructions to incorporate a CSS framework such as Sass, LESS, Glamor, or Aphrodite."
,Development guides,Routing,3,3,3,Read a guide with a set of instructions to perform routing and route management in the framework.
,,Testing,3,3,3,Read a guide with a set of instructions to perform testing and quality assurance such as linting within a development workflow.
,,Debugging,3,3,3,Read a guide with a set of instructions to perform debugging and troubleshooting within a development workflow.
,,Performance,3,3,3,Read a guide with a set of instructions to improve performance benchmarks within the framework.
,Feature addition guides,Adding media assets,3,3,3,Read a guide with a set of instructions to add media assets such as image and video to your application.
,,Adding search,3,3,3,Read a guide with a set of instructions to add search capabilities and indexing to your application.
,,Adding analytics,3,2,2,Read a guide with a set of instructions to add analytics integration and segmentation to your application.
,,Adding authentication,3,3,3,Read a guide with a set of instructions to add authentication providers to gate access to your application.
,,Adding SEO,3,3,3,Read a guide with a set of instructions to perform search engine optimization for your application.
Ecosystem,Ecosystem,Component ecosystem,3,3,3,"Leverage an existing component ecosystem such as React’s, which includes out-of-the-box component libraries and curated sets such as JSCoach."
,,Hosted option,2,2,2,"Plug your application into static hosts such as Netlify, Render, or surge.sh. WordPress and Squarespace include built-in hosting."
,,Themes ecosystem,2,3,3,"Leverage a theme ecosystem with various options for your application to take on a custom look and feel. Jekyll has themes, and WordPress and Squarespace offer default theme selection."
,Integrations,OOTB integrations with 20+ other systems,3,3,3,Leverage a framework that has integrations off the shelf with more than 20 other systems.
,,OOTB integrations with 50+ other systems,3,3,3,Leverage a framework that has integrations off the shelf with more than 50 other systems.
,Community,Pairing program,3,1,1,Collaborate with other developers on an individual basis in a community that offers a pairing program for mentorship.
,,Swag store,3,3,2,Purchase items from a swag store to express your support of the framework community.
,,Code of conduct,3,3,3,Feel welcome and empowered to contribute within a community that has an official code of conduct governing all interactions.
,,Contributing section in documentation,3,3,3,Understand how to contribute to a community with a clear section in documentation for new contributors.
