Category,Subcategory,Feature,Gatsby,Jekyll,Wordpress,Squarespace,Description
,,Hot reload content,3,1,1,0,"Hot reloading is an innovation of modern web development. As you edit content, you see the resulting UI change in your local development environment browser without refreshing the page. Gatsby offers this out of the box; Jekyll offers this through plugins; Wordpress offers a partial version where content in posts you edit is seen in your editing page as you change the text."
,,Hot reload code,3,1,0,0,"Hot reloading is an innovation of modern web development. As you edit code, you see the resulting UI change in your local development environment browser without refreshing the page. Gatsby offers this out of the box; Jekyll offers this through plugins; Wordpress does not offer this feature while editing components."
,Declarative frameworks,Componentization,3,0,3,3,Component systems allow developers to plug-n-play either external 3rd party components or internal components from a shared codebase or component library. Wordpress and Squarespace both support this; Gatsby supports this through React; other static site generators like Jekyll don't offer this at all.
,,One-way data binding,3,3,1,0,"<p>Gatsby is built on top of React, which uses a one-directional data binding system for its components. One-directional data flows are <a href=""https://www.infoq.com/news/2014/05/facebook-mvc-flux"" target=""_blank"">essential to building complex frontend components</a> by removing complex cross-dependencies present in alternate data flow approaches, such as MVC.</p>

<p>React's one-directional data flow is a pattern, rather than a library, so you <a href=""https://stackoverflow.com/questions/32948971/flux-architecture-in-php-from-backend-perspective"">could in theory</a> implement in PHP / Wordpress, but there's no out-of-the-box solution.</p> "
,,Declarative API data queries (GraphQL),3,0,2,0,"Gatsby is built on top of GraphQL, which allows you to write declarative queries for the data you want, and co-locate your components. Its build system pulls all of the data in for you, so you can query it in your local GraphiQL IDE / query constructor in order to get data in the shape you're looking for."
,,Declarative UI,3,0,1,0,"Gatsby is built on top of React, which allows a hierarchical UI construction by declaratively passing props down child trees. When components are behaving oddly, you can inspect their state using the DevTools extension and compare expected state of each element in a hierarchy to the actual state, enabling faster debug cycles compared to alternate frameworks."
,Modern code syntax,Asset pipelines,3,1,1,0,"<p>Asset pipelines are the compilers of the web stack -- turning images and code in a variety of developer-friendly languages (SCSS, LESS, CSS modules, templates, JSX, JS modules, ES7, ES6, Typescript, Flow...) into minified, raw HTML, CSS and JS that browsers can parse.</p>

<p>Gatsby provides asset pipelining out of the box through its build system on top of Webpack and Babel. Wordpress and Jekyll don't provide this, although you could set up your own. Squarespace has a limited and tightly controlled development environment (no local development) that doesn't allow for creating an asset pipeline.</p>"
,,CSS Extensions (eg Sass),3,3,1,1,"Languages such as Sass and Less compile to CSS while offering support for variables, functions, hierarchal class definitions; libraries like glamor and aphrodite allow css to be colocated with JS and HTML in React. This solves problems in vanilla CSS like global namespacing, non-determinatism, dead code elimination and minification"
,,Advanced Javascript syntax,3,1,1,0,"Javascript has become more powerful as a language in the last several years, making it easier to write code. These include:
<ul>
<li><b>Syntactic sugar</b>: arrow functions, destructuring, template strings, dynamic object property names.</li>
<li><b>Language features</b>: Classes, static variables, generators, async control flows like promises & async / await</lI>
<li><b>Data structures / types and modularity</b>: Maps, sets, modules, module loading, unicode...</li>
</ul>"
Ecosystem,Ecosystem,Component ecosystem,3,0,3,0,"React has several sets of out-of-the-box component libraries, as well as curated sets eg <a href=""https://js.coach/?collection=React"">JSCoach</a>"
,,Hosted option,2,2,3,3,Gatsby and other static site generators can be plugged into static hosts such as Netlify or surge.sh. Wordpress and Squarespace both come with built-in hosting.
,,Theme ecosystem,2,2,3,3,"Gatsby offers various themes through Typography.js, and Jekyll has themes built on it as well. Wordpress and Squarespace offer support for multiple themes through theme selectors out of the box."
Design,Faster design iterations,Programmatic Design,2,0,0,0,"Gatsby offers support for programmatic design by being built on <a href=""https://kyleamathews.github.io/typography.js/"">Typography.js</a>."
,,Design systems,2,0,0,0,"Gatsby offers native support for design systems through react-sketch, a tool allowing you to export your production React components into Sketch. Other frameworks aren't plugged into the React ecosystem."
,,Component library,2,0,0,0,"Gatsby offers native support for component libraries through react-sketch, a tool allowing you to export your production React components into Sketch. Other frameworks aren't plugged into the React ecosystem."
